"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"266"	5	"D5"	"LL13_40"	"4"	0.122916	0.88853
"267"	5	"D6"	"LL13_54"	"4"	0.106831718462736	0.89697
"268"	5	"D7"	"Jean_Talon"	"4"	0.198791345101797	0.83493
"269"	5	"D8"	"London"	"4"	0.163088	0.85662
"270"	5	"D9"	"Windsor"	"4"	0.131824	0.89342
"271"	5	"E10"	"London"	"6"	0.0388115874612183	0.57425
"272"	5	"E11"	"LL13_40"	"6"	0.018504	0.43653
"273"	5	"E2"	"BY_1n"	"6"	0.00759344058132498	0.28703
"274"	5	"E3"	"cot1"	"6"	0.00626399999999999	0.2396
"275"	5	"E4"	"BY_2n"	"6"	0.0119960000000001	0.33315
"276"	5	"E5"	"LL13_40"	"6"	0.027178027525739	0.55895
"277"	5	"E6"	"LL13_54"	"6"	0.0128839999999999	0.37507
"278"	5	"E7"	"Jean_Talon"	"6"	0.0471959999999999	0.58385
"279"	5	"E8"	"London"	"6"	0.032104	0.53195
"280"	5	"E9"	"Windsor"	"6"	0.0337526976896492	0.56463
"281"	5	"F10"	"London"	"8"	0.0174440000000001	0.41788
"282"	5	"F11"	"LL13_40"	"8"	0.00519200000000003	0.26825
"283"	5	"F2"	"BY_1n"	"8"	0.00476241013214748	0.2439
"284"	5	"F3"	"cot1"	"8"	0.00522000000000001	0.21835
"285"	5	"F4"	"BY_2n"	"8"	0.00706965562667026	0.27145
"286"	5	"F5"	"LL13_40"	"8"	0.00639199999999999	0.2976
"287"	5	"F6"	"LL13_54"	"8"	0.00507432569778287	0.25943
"288"	5	"F7"	"Jean_Talon"	"8"	0.023004	0.4441
"289"	5	"F8"	"London"	"8"	0.0290139872656766	0.47925
"290"	5	"F9"	"Windsor"	"8"	0.0253880000000001	0.5209
"291"	5	"G10"	"London"	"10"	0.00907200000000008	0.31112
"292"	5	"G11"	"LL13_40"	"10"	0.004288	0.21523
"293"	5	"G2"	"BY_1n"	"10"	0.00452800000000004	0.22403
"294"	5	"G3"	"cot1"	"10"	0.00454299199930974	0.2104
"295"	5	"G4"	"BY_2n"	"10"	0.00566000000000005	0.23885
"296"	5	"G5"	"LL13_40"	"10"	0.00441199999999996	0.22223
"297"	5	"G6"	"LL13_54"	"10"	0.00438000000000002	0.21895
"298"	5	"G7"	"Jean_Talon"	"10"	0.0167960000000001	0.33418
"299"	5	"G8"	"London"	"10"	0.00775999999999997	0.28965
"300"	5	"G9"	"Windsor"	"10"	0.00902800000000004	0.30862
"301"	6	"B10"	"LL13_54"	"0"	0.254508	1.2009
"302"	6	"B11"	"BY_2n"	"0"	0.158276	1.0231
"303"	6	"B2"	"BY_1n"	"0"	0.153168	1.0869
"304"	6	"B3"	"cot1"	"0"	0.156124	1.1037
"305"	6	"B4"	"BY_2n"	"0"	0.147458516762079	1.0256
"306"	6	"B5"	"LL13_40"	"0"	0.243168	1.2567
"307"	6	"B6"	"LL13_54"	"0"	0.250344	1.2253
"308"	6	"B7"	"Jean_Talon"	"0"	0.220490856985586	1.1399
"309"	6	"B8"	"London"	"0"	0.212173062081121	1.0978
