"VcfName","Pop"
"CGD.variant","02.A"
"CGE.variant","02.A"
"CGG.variant","26.A"
"CGH.variant","unk"
"CGI.variant","26.A"
"CGK.variant","26.A"
"CGL.variant","26.A"
"CGN.variant","26.A"
"CGP.variant","26.A"
"CGQ.variant","26.A"
"CGR.variant","26.A"
"CGS.variant","01.W"
"CGT.variant","01.W1"
"CGV.variant","01.W"
"CHA.variant","01.W"
"CHB.variant","01.W"
"CHC.variant","01.W"
"CHD.variant","01.W"
"CHE.variant","01.W"
"CHF.variant","01.W"
"CHG.variant","08.M"
"CHH.variant","08.M"
"CHI.variant","08.M"
"CHK.variant","08.M"
"CHL.variant","08.M"
"CHM.variant","26.A"
"CHN.variant","M3.M"
"CHP.variant","M3.M"
"CHQ.variant","M3.M"
"CHR.variant","08.M"
"CHS.variant","M3.M"
"CHT.variant","M3.M"
"CHV.variant","M1.M"
"CIA.variant","01.W"
"CIB.variant","01.W"
"CIC.variant","M3.M"
"CID.variant","M3.M"
"CIE.variant","08.M"
"CIF.variant","M3.M"
"CIG.variant","M3.M"
"CIH.variant","M3.M"
"CII.variant","M3.M"
"CIK.variant","M3.M"
"CIL.variant","M3.M"
"CIM.variant","01.W3"
"CIN.variant","01.W3"
"CIP.variant","01.W3"
"CIQ.variant","01.W3"
"CIR.variant","01.W3"
"CIS.variant","01.W3"
"CIT.variant","01.W3"
"CIV.variant","01.W3"
"CKA.variant","M3.M"
"CKB.variant","01.W3"
"CKC.variant","01.W3"
"CKD.variant","01.W3"
"CKE.variant","01.W3"
"CKF.variant","01.W3"
"CKG.variant","01.W3"
"CKH.variant","01.W3"
"CKI.variant","01.W3"
"CKK.variant","08.M"
"CKL.variant","01.W3"
"CKM.variant","01.W3"
"CKN.variant","M3.M"
"CKP.variant","01.W3"
"CKQ.variant","01.W3"
"CKR.variant","unk"
"CKS.variant","08.M"
"CKT.variant","01.W3"
"CKV.variant","05.F"
"CLA.variant","08.M"
"CLB.variant","04.M"
"CLC.variant","04.M"
