Strain	VcfName	Location	Country	Continent	Type	Source	Population
BC217	BC217.SRA.DIS.variant	CA  USA	USA	North America	Domesticated	Wine must	Europe/wine
BJ10	BJ10.SRA.DIS.variant	Beijing, China	China	Asia	Wild	Bark of Ulmus sp.	Europe/wine
BJ20	BJ20.SRA.DIS.variant	Beijing, China	China	Asia	Wild	Bark of Quercus wutaishanica	China
BY4741	BY4741.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
BY4742	BY4742.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
CBS435	CBS_7960.asm.ASM.DIS.variant	Nakazawa; Japan	Japan	Asia	Domesticated	Sake moto	Asia/sake
CBS_7960	CBS1483.LAG.DIS.variant	Brazil	Brazil	South America	Domesticated	Cane Ethanol	Europe/wine
CBS1483	CBS1585.SAM.variant	NA	NA	NA	Domesticated	Lager	Lager
CBS1585	CBS1598.SAM.variant	Nakazawa; Japan	Japan	Asia	Domesticated	Sake moto	Asia/sake
CBS1598	CBS435.SAM.variant	Nakazawa; Japan	Japan	Asia	Domesticated	Sake moto	Asia/sake
CCY48.91	CCY48-91.LAG.DIS.variant	NA	NA	NA	Domesticated	Lager	Lager
CEN.PK113-7D	CEN.PK113-7D.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
CEN.PK2-1Ca	CEN.PK2-1Ca.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
CLIB215	CLIB215.wugc.ASM.DIS.variant	New Zealand	New_Zealand	Australia	Domesticated	Baker	Europe/wine
D273-10B	D273-10B.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
DAV1e	DAV1e.SRA.DIS.variant	Davenport Vineyards  Southern UK	UK	Europe	Wild	Quercus robur	Europe/wine
DBVPG1106	DBVPG1106.SGRP.ASM.DIS.variant	Australia	Australia	Australia	Wild	Grapes	Europe/wine
DBVPG1373	DBVPG1373.SGRP.ASM.DIS.variant	Netherlands	Netherlands	Europe	Wild	Soil	Europe/wine
DBVPG1788	DBVPG1788.SRA.DIS.variant	Finland	Finland	Europe	Wild	Soil	Europe/wine
DBVPG6044	DBVPG6044.SGRP.ASM.DIS.variant	West Africa	West_Africa	Africa	Domesticated	Bili Wine	Africa
DBVPG6765	DBVPG6765.SGRP.ASM.DIS.variant	Indonesia	Indonesia	Asia	Wild	Lichee fruit	Europe/wine
EC9-8	EC9-8.asm.ASM.DIS.variant	Evolution Canyon, Israel	Israel	Asia	Wild	Soil	Clinical
EN14S01	EN14S01.SAM.variant	Taiwan	Taiwan	Asia	Wild	Soil	China
Ethanol_Red	Ethanol_Red.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial bioethanol	Asia/sake
EXF6719	EXF6719.SRA.DIS.variant	Cuber  Slovenia	Slovenia	Europe	Domesticated	Wine must	Europe/wine
EXF6761	EXF6761.SRA.DIS.variant	Cerkvenjak  Slovenia	Slovenia	Europe	Wild	Quercus petraea	Japan 2
EXF6780	EXF6780.SRA.DIS.variant	Slovenia	Slovenia	Europe	Wild	Quercus petraea	Europe/wine
EXF7145	EXF7145.SRA.DIS.variant	Novi Sad, Serbia	Serbia	Europe	Wild	Quercus robur	Med/oak
EXF7197	EXF7197.SRA.DIS.variant	On the road from Durmitor to Niksic (Jasenovo polje)  Montenegro	Montenegro	Europe	Wild	Quercus robur	Med/oak
EXF7200	EXF7200.SRA.DIS.variant	On the road from Durmitor to Niksic (Jasenovo polje)  Montenegro	Montenegro	Europe	Wild	Quercus robur	Europe/wine
Fermicru4F9	Fermicru4F9.SAM.variant	NA	NA	NA	Domesticated	Commercial wine yeast	Europe/wine
FGXd	FGXd.SRA.DIS.variant	Hotel Anixi  Anixi  Southern Greece	Greece	Europe	Wild	Ficus carica	Med/oak
FostersB	FostersB.SAM.variant	NA	NA	NA	Domesticated	Commercial brewing ale strain 	Ale 1
FostersO	FostersO.SAM.variant	NA	NA	NA	Domesticated	Commercial brewing ale strain 	Ale 1
FY1679	FY1679.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
GSY2239	GSY2239.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial Ale	Europe/wine
HN14	HN14.SRA.DIS.variant	Hainan, China	China	Asia	Wild	Rotton wood	Africa
HN6	HN6.SRA.DIS.variant	Hainan, China	China	Asia	Wild	Rotten wood	China
HUN9	HUN9.SRA.DIS.variant	Hungary 	Hungary	Europe	Wild	Oak (isolate provided by Eladio Barrio)	Med/oak
I14	I14.wugc.ASM.DIS.variant	Italy	Italy	Europe	Wild	Soil	Europe/wine
IL01	IL01.wugc.ASM.DIS.variant	IL, USA	USA	North America	Wild	Soil	Med/oak
IOC9002	IOC9002.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial wine yeast	Europe/wine
IR-2	IR-2.asm.ASM.DIS.variant	Indonesia	Indonesia	Asia	Wild	Isolated from fermented food, used for bioethanol	Clinical
ISO12	ISO12.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Evolved from commercial bioethanol EthanolRed	Asia/sake
JAY291	JAY291.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Bioethanol	Europe/wine
Jean-Talon	Jean-Talon.variant2	Canada	Canada	North America	Domesticated	Annedda beer	Jean-Talon
JK9-3d	JK9-3d.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
K11	K11.asm.ASM.DIS.variant	Japan	Japan	Asia	Domesticated	Sake	Asia/sake
Kyokai_no.7	Kyokai_no.7.asm.ASM.DIS.variant	Asia	Asia	Asia	Domesticated	Sake	Asia/sake
L.2112	L.2112.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Lager
L.2278	L.2278.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Lager
L.Brewferm	L.Brewferm.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Beer/baking
